COMBINATION AREA;County;GDP Comb. Area;Pop. County/city;Population Comb. Area;Population proportionate;GDP_estimate
& Charlottesville;Albemarle;12901635;114845;160117;0.717256756;9253784867
&Covington;Alleghany;865140;14715;20348;0.723166896;625640608.4
&Staunton, Waynesboro;Augusta;5295475;77939;126678;0.615252846;3258056064
&Lynchburg;Campbell;7301812;55065;134293;0.410036264;2994007713
&Galax;Carroll;924084;29118;35820;0.812897822;751185871.4
&Colonial Heights, Petersburg;Dinwiddie;2914662;28099;79839;0.351945791;1025803023
&Fairfax City, Falls Church;Fairfax;137925802;1139309;1178550;0.966704001;1.33333E+11
&Winchester;Frederick;7220706;94808;122669;0.772876603;5580714724
&Emporia;Greensville;1574256;11204;16737;0.669415068;1053830688
&Martinsville;Henry;2214765;49795;63492;0.784272034;1736978252
&Williamsburg;James City;5769225;81483;97168;0.838578544;4837948303
&Radford;Montgomery;5777746;98826;115545;0.855303129;4941724230
&Danville;Pittsylvania;3452985;59824;101841;0.587425497;2028371428
&Hopewell;Prince George;3799065;43021;65811;0.653705308;2483468955
&Manassas, Manassas Park;Prince William;22585884;487012;546378;0.891346284;20131843776
&Salem;Roanoke;6189165;96756;122456;0.790128699;4890236891
&Buena Vista, Lexington;Rockbridge;1269066;22568;36665;0.615518887;781134092.1
&Harrisonburg;Rockingham;8693159;85414;136564;0.625450338;5437139237
&Franklin;Southampton;802221;17899;26173;0.683872693;548617035.8
&Fredericksburg;Spotsylvania;6996859;146828;175476;0.836741207;5854560243
&Bristol;Washington;3683432;53855;70795;0.760717565;2802051421
&Norton;Wise;1602095;35327;38916;0.907775722;1454342945
&Poquoson;York;2853838;71164;83788;0.849334034;2423861740
;Bristol city;3683432;16940;70795;0.239282435;881380578.9
;Buena Vista city;1269066;6569;36665;0.179162689;227369277.3
;Charlottesville city;12901635;45272;160117;0.282743244;3647850133
;Colonial Heights city;2914662;18278;79839;0.228935733;667270281.9
;Covington city;865140;5633;20348;0.276833104;239499391.6
;Danville city;3452985;42017;101841;0.412574503;1424613572
;Emporia city;1574256;5533;16737;0.330584932;520425312.1
;Fairfax city;137925802;24752;1178550;0.021002079;2896728566
;Falls Church city;137925802;14489;1178550;0.01229392;1695648844
;Franklin city;802221;8274;26173;0.316127307;253603964.2
;Fredericksburg city;6996859;28648;175476;0.163258793;1142298757
;Galax city;924084;6702;35820;0.187102178;172898128.6
;Harrisonburg city;8693159;51150;136564;0.374549662;3256019763
;Hopewell city;3799065;22790;65811;0.346294692;1315596045
;Lexington city;1269066;7528;36665;0.205318424;260562630.5
;Lynchburg city;7301812;79228;134293;0.589963736;4307804287
;Manassas city;22585884;42673;546378;0.078101607;1763993843
;Manassas Park city;22585884;16693;546378;0.030552109;690046381.1
;Martinsville city;2214765;13697;63492;0.215727966;477786748
;Norton city;1602095;3589;38916;0.092224278;147752054.6
;Petersburg city;2914662;33462;79839;0.419118476;1221588695
;Poquoson city;2853838;12624;83788;0.150665966;429976260.5
;Radford city;5777746;16719;115545;0.144696871;836021769.6
;Salem city;6189165;25700;122456;0.209871301;1298928109
;Staunton city;5295475;25940;126678;0.204771152;1084360516
;Waynesboro city;5295475;22799;126678;0.179976002;953058420
;Williamsburg city;5769225;15685;97168;0.161421456;931276697.3
;Winchester city;7220706;27861;122669;0.227123397;1639991276
